Países,Quantidade (Kg),Valor (US$),Ano,Preco_fechamento,Cambio%,Cambio,Minimo,Maximo,Quantidade (L),Valor (R$),Valor (L) US$,Valor (L) R$,CONTINENTE,Market_Share,Quantidade_Volume
El Salvador,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Emirados Arabes Unidos,4781,85465.0,2022,5.29,-5.09%,5.16,4.58,5.73,4805.03,440999.4,17.79,91.78,,0.78,Médio
Equador,135,210.0,2022,5.29,-5.09%,5.16,4.58,5.73,135.68,1083.6,1.55,7.99,América do Sul,0.0,Muito Baixo
Eslováquia,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Espanha,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Estados Unidos,220373,447893.0,2022,5.29,-5.09%,5.16,4.58,5.73,221480.4,2311127.88,2.02,10.43,,4.09,Alto
Estônia,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Filipinas,375,790.0,2022,5.29,-5.09%,5.16,4.58,5.73,376.88,4076.4,2.1,10.82,Ásia,0.01,Baixo
Finlândia,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
França,5694,25008.0,2022,5.29,-5.09%,5.16,4.58,5.73,5722.61,129041.28,4.37,22.55,Europa,0.23,Médio
Gabão,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
